event_id,event_name,organizer_id,organizer_name,event_country,historical_event_start,historical_event_end,primary_genre,event_type,event_amount_of_stages,event_amount_of_artists,pa_system,cdj,mixer,monitor,turntable,visuals_required,event_status,cancelled_event
591,NADA with Rudosa,44,Gigevate Archive,Portugal,2023-09-01 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
590,CODE 155 en Fabrik,44,Gigevate Archive,Spain,2023-09-02 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
530,Verknallt RAVE,44,Gigevate Archive,Austria,2023-09-08 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
715,ORꓘA x SBB,44,Gigevate Archive,France,2023-09-16 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
368,Techno Pressure Sequence,44,Gigevate Archive,The Netherlands,2023-09-23 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
487,Hard Fist,44,Gigevate Archive,France,2023-09-23 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
529,Verknallt 2023,44,Gigevate Archive,Austria,2023-09-23 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
589,Rudosa All Night Long,44,Gigevate Archive,United Kingdom,2023-09-30 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
778,Subios Records Showcase with David Phoenix,44,Gigevate Archive,Germany,2023-10-06 00:00:00+00:00,0001-01-01 00:00:00+00:00,,SHOWCASE & INDUSTRY,0,0,,,,,,False,,False
777,Vision Serpent Label Launch,44,Gigevate Archive,Austria,2023-10-14 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
486,Halloween Night 'THE SHINING',44,Gigevate Archive,Latvia,2023-10-28 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
614,HiLLOWEEN,44,Gigevate Archive,Indonesia,2023-10-28 00:00:00+00:00,0001-01-01 00:00:00+00:00,,SHOWCASE & INDUSTRY,0,0,,,,,,False,,False
776,PRATERRAKETE,44,Gigevate Archive,Austria,2023-11-03 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
716,ORKA SAISON II,44,Gigevate Archive,France,2023-11-24 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
588,SHINE BOXING NIGHT,44,Gigevate Archive,United Kingdom,2023-12-26 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
775,Fortuna Im Freudentaumel,44,Gigevate Archive,Austria,2023-12-31 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
661,JALEO MUSIC: THE NEW ERA,44,Gigevate Archive,Spain,2024-01-20 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
688,Liquid Night,44,Gigevate Archive,Hungary,2024-01-20 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
774,TiM TASTE (DE) @FLUCC WANNE,44,Gigevate Archive,Austria,2024-01-26 00:00:00+00:00,0001-01-01 00:00:00+00:00,,SHOWCASE & INDUSTRY,0,0,,,,,,False,,False
773,Cosmic Connection,44,Gigevate Archive,Austria,2024-02-01 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
485,S//IP x Anastasia Zems,44,Gigevate Archive,Cyprus,2024-02-10 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
687,Lunar New Year Celebrations,44,Gigevate Archive,Slovakia,2024-02-10 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
484,Les Yeux Orange x EXOTIKA,44,Gigevate Archive,France,2024-02-23 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
483,Sunday Remedy with Alzaya,44,Gigevate Archive,Italy,2024-02-25 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
706,Resonate – Trance Classics,44,Gigevate Archive,Channel Islands,2024-03-09 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
714,ORꓘA invites,44,Gigevate Archive,France,2024-03-09 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
482,Ogazón at Lux Fragil,44,Gigevate Archive,Portugal,2024-03-22 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
587,Sinister X SURVIVE Warehouse Rave,44,Gigevate Archive,Germany,2024-03-23 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
686,Elektrisch,44,Gigevate Archive,Germany,2024-03-23 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
772,Proxima B,44,Gigevate Archive,Germany,2024-04-13 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
481,Renate Klubnacht,44,Gigevate Archive,Germany,2024-04-19 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
685,Project: Undergrunn vol.4 - Dimensional Drift,44,Gigevate Archive,Norway,2024-04-19 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
771,Vision Serpent x Im Freudentaumel with Lampé,44,Gigevate Archive,Austria,2024-04-19 00:00:00+00:00,0001-01-01 00:00:00+00:00,,SHOWCASE & INDUSTRY,0,0,,,,,,False,,False
713,BEWONDER,44,Gigevate Archive,France,2024-04-20 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
586,Synaptica w./ Vitalic,44,Gigevate Archive,Germany,2024-04-27 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
585,Techno with Rudosa and Angel Karel,44,Gigevate Archive,England,2024-05-03 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
528,TECHNO AM WASSER x OPEN AIR RAVE 2024,44,Gigevate Archive,Austria,2024-05-04 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
763,Senza ID,44,Gigevate Archive,Italia,2024-05-11 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
480,Dancing Dolphins 2nd Edition,44,Gigevate Archive,Spain,2024-05-24 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
712,ORꓘA x Badaboum,44,Gigevate Archive,France,2024-05-24 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
684,Liquid Night x Pacha Barcelona,44,Gigevate Archive,Hungary,2024-05-25 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
683,Puzzles #6 feat. NoNameLeft & Kate Hex,44,Gigevate Archive,Australia,2024-06-01 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
682,Puzzles #7 feat. NoNameLeft & Kate Hex,44,Gigevate Archive,Australia,2024-06-07 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
479,MERCREDI SOIR,44,Gigevate Archive,France,2024-06-19 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
613,JUMPSTART FESTIVAL 2024,44,Gigevate Archive,UK,2024-06-21 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
367,STC Weekend Warmup,44,Gigevate Archive,Netherlands,2024-06-29 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
711,Birgits Weekender,44,Gigevate Archive,Germany,2024-07-05 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
770,BESSER DRAUF,44,Gigevate Archive,Austria,2024-07-06 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
681,Maurice Mino invites,44,Gigevate Archive,Germany,2024-07-12 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
769,Vision Serpent x Im Freudentaumel - Label Showcase,44,Gigevate Archive,Austria,2024-07-20 00:00:00+00:00,0001-01-01 00:00:00+00:00,,SHOWCASE & INDUSTRY,0,0,,,,,,False,,False
680,Bachblyten Festival,44,Gigevate Archive,Germany,2024-07-26 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
768,MONOCHROM - Rave On Society x Löwenzahn,44,Gigevate Archive,Austria,2024-07-27 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
612,Creamfields 2024,44,Gigevate Archive,UK,2024-08-22 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
679,Deep Pool,44,Gigevate Archive,Hungary,2024-08-24 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
703,Bank Holiday Special – Quemard B2B Lucuz (All Night),44,Gigevate Archive,United Kingdom,2024-08-25 00:00:00+00:00,0001-01-01 00:00:00+00:00,,SHOWCASE & INDUSTRY,0,0,,,,,,False,,False
767,Return to Paradise,44,Gigevate Archive,United States of America,2024-08-30 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
598,ZUL Closing Summer – Chapter 1 (Open Air),44,Gigevate Archive,Spain,2024-08-31 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
584,TURBO 003,44,Gigevate Archive,United Kingdom,2024-09-18 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
478,PANTHERA w/ The Hacker,44,Gigevate Archive,Portugal,2024-09-20 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
678,Dusk Till Dawn Ep.3,44,Gigevate Archive,Canada,2024-09-20 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
761,Enigma,44,Gigevate Archive,Italia,2024-09-21 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
611,Burak Yeter & FRIENDS - ADE,44,Gigevate Archive,Netherlands,2024-10-16 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
583,Codex vs. Union Three labels' Showcase,44,Gigevate Archive,Netherlands,2024-10-17 00:00:00+00:00,0001-01-01 00:00:00+00:00,,SHOWCASE & INDUSTRY,0,0,,,,,,False,,False
780,Sam Feldt & Friends at ADE,44,Gigevate Archive,Netherlands,2024-10-17 00:00:00+00:00,0001-01-01 00:00:00+00:00,,SHOWCASE & INDUSTRY,0,0,,,,,,False,,False
477,Grishagreg & Anastasia Zems,44,Gigevate Archive,Portogallo,2024-10-19 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
677,Mainground Sessions A38,44,Gigevate Archive,Hungary,2024-10-19 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
766,Vision Serpent Showcase with Breger,44,Gigevate Archive,Austria,2024-10-19 00:00:00+00:00,0001-01-01 00:00:00+00:00,,SHOWCASE & INDUSTRY,0,0,,,,,,False,,False
599,To The Bone x Sixsixsounds — One Year Anniversary,44,Gigevate Archive,Germany,2024-10-26 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
759,OSTROM X NORMATIVE: SIEGE / HARD TECHNO /,44,Gigevate Archive,Hungary,2024-10-26 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
527,Halloween Warehouse Rave,44,Gigevate Archive,Austria,2024-10-31 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
676,KOSMOS with NoNameLeft,44,Gigevate Archive,Germany,2024-11-16 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
597,Berlin Calling,44,Gigevate Archive,Germany,2024-11-23 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
675,WohnzimmerTechno X ONYX,44,Gigevate Archive,Germany,2024-11-23 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
674,Antrieb #29 w// Nonameleft,44,Gigevate Archive,Germany,2024-12-06 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
526,TREZOR TOUR,44,Gigevate Archive,Slovakia,2024-12-07 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
520,DISTURB & TUTTY FRUTTY 12h Xmas Rave,44,Gigevate Archive,Portugal,2024-12-20 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
519,KØMPLEX & TVRBØLÆNCE,44,Gigevate Archive,Portugal,2024-12-27 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
365,BLACKWORKS at SPAZIO900,44,Gigevate Archive,Italy,2024-12-31 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
518,RAGE RAVE Supersonic NYE,44,Gigevate Archive,Portugal,2024-12-31 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
710,ORKA x SAKRAL: Popof / Anna Reusch / Skollaris,44,Gigevate Archive,France,2025-01-04 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
334,No Sundays Without Techno,44,Gigevate Archive,Netherlands,2025-01-05 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
333,KAVAL SVIRI - EP Release Party,44,Gigevate Archive,Netherlands,2025-01-10 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
673,madhaūs presents: UNDRGRND RETURNS,44,Gigevate Archive,Saudi Arabia,2025-01-10 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
332,Lose Yourself In The Music,44,Gigevate Archive,Netherlands,2025-01-11 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
364,Fight Club: Round 2,44,Gigevate Archive,France,2025-01-11 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
331,Undrgrnd x Ro*minimal,44,Gigevate Archive,Netherlands,2025-01-17 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
517,DISTURB w/ CARV,44,Gigevate Archive,Portugal,2025-01-18 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
330,No Sundays Without Techno,44,Gigevate Archive,Netherlands,2025-01-19 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
329,Talrabauken x Undrgrnd,44,Gigevate Archive,Netherlands,2025-01-31 00:00:00+00:00,0001-01-01 00:00:00+00:00,,SHOWCASE & INDUSTRY,0,0,,,,,,False,,False
363,Crow Techno Club,44,Gigevate Archive,Spain,2025-01-31 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
672,Liquid Night invites NoNameLeft,44,Gigevate Archive,Hungary,2025-02-06 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
516,Rage Rave invites Don Woezik,44,Gigevate Archive,Portugal,2025-02-07 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
758,Monasterio Session Opening,44,Gigevate Archive,Russia,2025-02-07 00:00:00+00:00,0001-01-01 00:00:00+00:00,,UNDERGROUND & ALTERNATIVE,0,0,,,,,,False,,False
328,LOVE 4 ALL with Melisa Dust,44,Gigevate Archive,Netherlands,2025-02-14 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
603,Berrylectro × Flym,44,Gigevate Archive,Germany,2025-02-15 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
327,No Sundays Without Techno,44,Gigevate Archive,Netherlands,2025-02-16 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
326,UNDRGRND,44,Gigevate Archive,Netherlands,2025-02-21 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
515,Hard Level with Angel Karel,44,Gigevate Archive,Portugal,2025-02-22 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
362,Illusion Rave Mirage Aurora,44,Gigevate Archive,France,2025-02-26 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
325,Undrgrnd,44,Gigevate Archive,Netherlands,2025-02-28 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
605,Beats Bass Carnival,44,Gigevate Archive,Germany,2025-03-02 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
514,Disturb Weekend Festival,44,Gigevate Archive,Portugal,2025-03-07 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
604,DOPAMYN Indoor Festival,44,Gigevate Archive,Germany,2025-03-07 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
602,NOX,44,Gigevate Archive,Netherlands,2025-03-08 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
652,RAVING CHARLIE: Hard Techno,44,Gigevate Archive,Netherlands,2025-03-12 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
653,RAVING CHARLIE: Hard Techno / Rave w/ ØTRACK [IT] / DAISIMØND / AMSIES / MIESØ,44,Gigevate Archive,The Netherlands,2025-03-12 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,3,False
324,The Art of Groove,44,Gigevate Archive,Netherlands,2025-03-14 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
757,NYX op Vrijdag,44,Gigevate Archive,Netherlands,2025-03-14 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
255,"Space 92, Bjørnson",44,Gigevate Archive,Germany,2025-03-15 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
341,SOROUSH invites,44,Gigevate Archive,Netherlands,2025-03-15 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
601,Color & Bass,44,Gigevate Archive,Germany,2025-03-15 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
323,No Sundays Without Techno,44,Gigevate Archive,Netherlands,2025-03-16 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
361,Rage Rave invites Daniella da Silva,44,Gigevate Archive,Lisbon,2025-03-21 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
476,PMU Nightclub,44,Gigevate Archive,France,2025-03-21 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
513,Rage Rave invites Daniella da Silva,44,Gigevate Archive,Portugal,2025-03-21 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
475,House Of Underground,44,Gigevate Archive,Portugal,2025-03-22 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
322,Alex Sharp BASH,44,Gigevate Archive,Netherlands,2025-03-23 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
321,UNDRGRND x RAVE PARTY,44,Gigevate Archive,Netherlands,2025-03-28 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
340,UNDRGRND x RAVE PARTY,44,Gigevate Archive,Netherlands,2025-03-28 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
600,Rave Revolution 038,44,Gigevate Archive,The Netherlands,2025-03-28 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
671,TECHNOGENIX,44,Gigevate Archive,Bulgaria,2025-03-29 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
702,Resonate – Trance Classics,44,Gigevate Archive,United Kingdom,2025-03-30 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
606,SKIMASKE pres. SixSixSounds Showcase,44,Gigevate Archive,Germany,2025-04-04 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
474,DISCO PATIO XIII,44,Gigevate Archive,Germany,2025-04-05 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
320,No Sundays Without Techno,44,Gigevate Archive,Netherlands,2025-04-06 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
512,Satiata Non Stop By Riktus - Round 3,44,Gigevate Archive,Portugal,2025-04-10 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
765,Im Freudentaumel von Eben,44,Gigevate Archive,Austria,2025-04-11 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
339,BATO A'dam BB (BATO Boat Party),44,Gigevate Archive,Netherlands,2025-04-12 00:00:00+00:00,0001-01-01 00:00:00+00:00,,TOURS & SPECIAL FORMATS,0,0,,,,,,False,,False
360,CODE 167 in Fabrik,44,Gigevate Archive,Spain,2025-04-12 00:00:00+00:00,0001-01-01 00:00:00+00:00,,FESTIVAL & OPEN-AIR,0,0,,,,,,False,,False
319,No Sundays Without Techno,44,Gigevate Archive,Netherlands,2025-04-13 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
511,Disturb Hard with Nikolina,44,Gigevate Archive,Portugal,2025-04-17 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
318,RADIANT x UNDRGRND,44,Gigevate Archive,Netherlands,2025-04-18 00:00:00+00:00,0001-01-01 00:00:00+00:00,,CLUB & NIGHTLIFE,0,0,,,,,,False,,False
